GeneA,GeneB,UniprotA,UniprotB,SymbolA,SymbolB,pW,pNI,pInt
100,728378,P00813,A5A3E0,ADA,POTEF,6.88184379952655e-10,1.17635665707e-4,0.999882363646109
222389,6137,Q8N7W2-2,P26373,BEND7,RPL13,1.3403803669592e-18,0.22566447410874,0.77433552589126
222389,5928,Q8N7W2-2,Q09028-3,BEND7,RBBP4,7.221400507555699e-21,6.416690426411e-5,0.99993583309574
222389,25873,Q8N7W2-2,Q9Y3U8,BEND7,RPL36,7.0583723764003e-17,0.12818273426413,0.87181726573587
222389,6124,Q8N7W2-2,P36578,BEND7,RPL4,1.6323133384961e-22,0.20063791090184,0.79936208909816
222389,6188,Q8N7W2-2,P23396,BEND7,RPS3,3.9862700579427e-26,0.0010264311455794,0.99897356885442
222389,708,Q8N7W2-2,Q07021,BEND7,C1QBP,1.9439402169781904e-15,0.00703392346474343,0.992966076535255
222389,4038,Q8N7W2-2,O75096,BEND7,LRP4,4.3826355566066e-13,3.3149258365345e-4,0.999668507415908
222389,3836,Q8N7W2-2,P52294,BEND7,KPNA1,1.4076199138487999e-23,2.932661108737e-5,0.99997067338891
645121,3312,Q6ZMN8,P11142,CCNI2,HSPA8,9.95439054987814e-18,0.0457454472644416,0.954254552735558
645121,55132,Q6ZMN8,Q659C4-2,CCNI2,LARP1B,1.3354026729398499e-11,0.0363366001832439,0.963663399803402
645121,1020,Q6ZMN8,Q00535,CCNI2,CDK5,1.32460432050505e-10,4.355431340211e-5,0.999956445554138
945,201266,P20138,Q8N1S5-2,CD33,SLC39A11,0.00225506989904321,0.0569867811953684,0.940758148905588
945,5824,P20138,P40855-5,CD33,PEX19,2.0318498160373602e-14,0.00986435092244921,0.99013564907753
945,808,P20138,P62158,CD33,CALM3,9.27383635717589e-16,0.0572336334199086,0.942766366580091
945,23412,P20138,Q9UBI1,CD33,COMMD3,0.0965849584036847,0.0390901849012514,0.864324856695064
1819,3312,P55039,P11142,DRG2,HSPA8,3.07265579134766e-17,0.109509148041696,0.890490851958304
1819,51389,P55039,Q9H446,DRG2,RWDD1,5.34812625735239e-14,2.2913238973335698e-11,0.999999999977033
1819,5603,P55039,O15264,DRG2,MAPK13,1.08371384024e-5,1.256258752061e-5,0.999976600274077
148109,7444,Q17R55,Q86Y07-3,FAM187B,VRK2,2.6694581047645702e-17,0.126041113613029,0.873958886386971
148109,821,Q17R55,F5H856,FAM187B,CANX,3.8457139428587904e-17,0.0529246118666109,0.947075388133389
148109,3309,Q17R55,P11021,FAM187B,HSPA5,2.0555902480635199e-19,0.132636859660667,0.867363140339333
148109,56928,Q17R55,Q8TCT7-2,FAM187B,SPPL2B,2.2775633149372e-4,0.125842339972115,0.873929903696391
148109,293,Q17R55,P12236,FAM187B,SLC25A6,3.3353484333465404e-15,0.1646163375841,0.835383662415897
148109,9349,Q17R55,P62829,FAM187B,RPL23,6.08992857415331e-15,0.0251810120119642,0.97481898798803
148109,7846,Q17R55,Q71U36,FAM187B,TUBA1A,1.02294873724019e-13,0.154693858780132,0.845306141219765
148109,84790,Q17R55,Q9BQE3,FAM187B,TUBA1C,4.40152920870456e-12,0.136099581894228,0.86390041810137
148109,6646,Q17R55,P35610,FAM187B,SOAT1,7.07468948994567e-7,0.0212126564011994,0.978786636129852
148109,158747,Q17R55,Q8NHP6,FAM187B,MOSPD2,3.1190552974280903e-10,1.4010406704319e-4,0.999859895621051
54363,8514,Q9UJM8,Q13303-2,HAO1,KCNAB2,2.95435411539205e-6,0.0102619339192043,0.98973511172668
23640,3312,Q9NZL4,P11142,HSPBP1,HSPA8,1.2733985674271e-31,0.016656250934933,0.98334374906507
23640,728378,Q9NZL4,A5A3E0,HSPBP1,POTEF,8.71763304712118e-13,0.174887659387964,0.825112340611164
23640,26098,Q9NZL4,Q3B7T1-5,HSPBP1,C10orf137,4.479184361654079e-12,2.049670746606e-5,0.999979503288055
23640,22978,Q9NZL4,P49902,HSPBP1,NT5C2,2.3259028494081397e-11,8.51597894578379e-9,0.999999991460762
23640,1998,Q9NZL4,Q15723-1,HSPBP1,ELF2,0.158306731747165,0.00221418016774078,0.839479088085094
23313,10971,Q6ICG6-2,P27348,KIAA0930,YWHAQ,1.9239010486666002e-22,9.2622372429068e-8,0.99999990737763
23313,7529,Q6ICG6-2,P31946-2,KIAA0930,YWHAB,1.4061203602812e-26,5.5161649626865e-9,0.99999999448384
23313,2810,Q6ICG6-2,P31947-2,KIAA0930,SFN,3.41800734326468e-11,0.0959600277944227,0.904039972171397
23313,7532,Q6ICG6-2,P61981,KIAA0930,YWHAG,2.5705437645315e-23,1.0047262314057e-9,0.99999999899527
23313,7531,Q6ICG6-2,P62258,KIAA0930,YWHAE,8.86681289925075e-16,0.0262495828815266,0.973750417118473
23313,7534,Q6ICG6-2,P63104,KIAA0930,YWHAZ,3.132759498682e-24,8.442852577215e-8,0.99999991557147
23313,7533,Q6ICG6-2,Q04917,KIAA0930,YWHAH,2.0180694659491e-22,2.8174508228803e-8,0.99999997182549
23313,51654,Q6ICG6-2,Q96SZ6-2,KIAA0930,CDK5RAP1,6.5324447480754e-22,8.575906662654e-5,0.99991424093337
23313,55175,Q6ICG6-2,Q9NVR0,KIAA0930,KLHL11,2.51480675574835e-10,2.421459655583e-5,0.999975785151963
23313,10533,Q6ICG6-2,O95352,KIAA0930,ATG7,8.60910591408857e-12,0.0918816249947765,0.908118374996614
23313,7486,Q6ICG6-2,Q14191,KIAA0930,WRN,0.056070321963772,0.0096386632915665,0.934291014744662
23313,22933,Q6ICG6-2,Q8IXJ6-2,KIAA0930,SIRT2,0.00117249458839071,0.13098348902691,0.867844016384699
57805,3312,Q8N163-2,P11142,KIAA1967,HSPA8,1.1899649984832e-33,0.050771690643402,0.9492283093566
57805,8514,Q8N163-2,Q13303-2,KIAA1967,KCNAB2,3.5888383863049e-28,9.124515774404e-5,0.99990875484226
57805,54363,Q8N163-2,Q9UJM8,KIAA1967,HAO1,1.387414285516e-10,2.35389822081631e-7,0.999999764471436
57805,9859,Q8N163-2,Q5SW79,KIAA1967,CEP170,1.85683372475364e-8,0.142032533320784,0.857967448110879
57805,10381,Q8N163-2,Q13509,KIAA1967,TUBB3,1.3584175430859e-28,0.048534004663982,0.95146599533602
57805,347688,Q8N163-2,Q3ZCM7,KIAA1967,TUBB8,1.4867255403494998e-31,0.097727621676627,0.90227237832337
57805,4163,Q8N163-2,P23508-2,KIAA1967,MCC,2.3845096920038e-18,0.098122235301576,0.90187776469842
9926,728378,Q92604,A5A3E0,LPGAT1,POTEF,5.40684815021152e-10,1.6791353296261e-4,0.999832085926353
9926,345651,Q92604,Q562R1,LPGAT1,ACTBL2,2.22584637113134e-14,0.169392768644911,0.830607231355067
123355,3329,Q86X40,P10809,LRRC28,HSPD1,1.04806150719202e-14,1.2951411694794e-4,0.999870485883042
123355,664618,Q86X40,Q58FF6,LRRC28,HSP90AB4P,5.6669206885673795e-11,0.0100491585134425,0.989950841429888
123355,3312,Q86X40,P11142,LRRC28,HSPA8,7.45083397848803e-17,0.114685531305355,0.885314468694645
123355,3305,Q86X40,P34931,LRRC28,HSPA1L,7.77480114398616e-14,0.210942571471969,0.789057428527953
123355,8065,Q86X40,Q93034,LRRC28,CUL5,5.9598347928187995e-24,4.7509064459202e-9,0.99999999524909
123355,10910,Q86X40,Q9Y2Z0-2,LRRC28,SUGT1,2.1498469652781e-21,7.5534242750218e-4,0.9992446575725
123355,55626,Q86X40,Q9C0C7-3,LRRC28,AMBRA1,5.5634445595801e-14,0.0045766152300111,0.99542338476993
4109,2648,P43363,Q92830,MAGEA10,KAT2A,1.06706528249085e-10,7.56310281934169e-8,0.999999924262265
4109,8850,P43363,Q92831,MAGEA10,KAT2B,6.792372247803269e-11,7.88034853430457e-8,0.999999921128591
4109,10499,P43363,Q15596,MAGEA10,NCOA2,1.45912977491736e-14,1.27060477666769e-10,0.999999999872925
4109,57325,P43363,Q9H8E8-2,MAGEA10,CSRP2BP,3.4492588574828e-4,0.0659971357472478,0.933657938367004
4109,55689,P43363,Q9ULM3,MAGEA10,YEATS2,1.59685264070538e-13,0.025653713079552,0.974346286920288
4109,728269,P43363,P43362,MAGEA10,MAGEA9B,1.48463646853553e-7,2.17683106224603e-7,0.999999633853247
4109,728378,P43363,A5A3E0,MAGEA10,POTEF,5.6750662738456094e-11,2.127223264703e-5,0.999978727710602
4109,60,P43363,P60709,MAGEA10,ACTB,4.4543697892727905e-17,0.198954424679562,0.801045575320438
4109,1523,P43363,Q13948-2,MAGEA10,CUX1,2.50718309756966e-13,0.0541580784090862,0.945841921590663
4109,84250,P43363,Q9BQI6,MAGEA10,ANKRD32,1.1670244475041e-4,2.611552445043e-5,0.999857182030799
4109,23133,P43363,Q9UPP1-2,MAGEA10,PHF8,2.20911496948413e-9,2.973678291406e-5,0.999970261007971
4109,23314,P43363,Q9UPW6,MAGEA10,SATB2,1.6663176479364e-4,0.011058105651493,0.988775262583713
4109,8204,P43363,P48552,MAGEA10,NRIP1,1.452615171057e-5,1.869785049496e-5,0.999966775997794
4109,26009,P43363,Q8IYH5-2,MAGEA10,ZZZ3,3.45616721327019e-9,0.0581013366009883,0.941898659942844
4109,6191,P43363,P62701,MAGEA10,RPS4X,1.0434679343991e-14,0.212452639036566,0.787547360963424
4109,79832,P43363,Q2KHR3-2,MAGEA10,QSER1,1.93820117787723e-12,2.33468094149936e-6,0.99999766531712
4109,90459,P43363,Q8IV48,MAGEA10,ERI1,1.26891918952238e-6,2.39154776758433e-8,0.999998707165333
4109,55048,P43363,A5D8V6,MAGEA10,VPS37C,2.29170247926397e-7,0.0902847867243579,0.909714984105394
4109,55810,P43363,Q9P0K8-2,MAGEA10,FOXJ2,1.22378455153391e-13,8.770934065248849e-12,0.999999999991107
4109,23481,P43363,O00541-2,MAGEA10,PES1,6.66816764023337e-16,0.0082664571693375,0.991733542830662
4109,10474,P43363,O75528-2,MAGEA10,TADA3,0.00110704099992921,0.0108757127707458,0.988017246229325
4109,29902,P43363,Q8WUB2,MAGEA10,FAM216A,4.0394406800301e-11,7.541820658494131e-9,0.999999992417785
4109,5585,P43363,Q16512-2,MAGEA10,PKN1,5.91910489875515e-10,6.7089571907486e-4,0.999329103689015
4109,5451,P43363,P14859-2,MAGEA10,POU2F1,1.42258214859001e-10,3.62608626904193e-6,0.999996373771473
4109,29903,P43363,Q9BWC9,MAGEA10,CCDC106,8.138560324644e-5,0.00269062711147071,0.997227987285283
4109,54535,P43363,Q8TD31-2,MAGEA10,CCHCR1,2.42130788545424e-8,2.2236569931533e-4,0.999777610087606
4109,64784,P43363,Q6UUV7-3,MAGEA10,CRTC3,2.1794505173583e-4,8.05112397307837e-7,0.999781249835867
4109,6944,P43363,Q15906,MAGEA10,VPS72,0.0580679030591935,0.153853758702971,0.788078338237836
5603,728378,O15264,A5A3E0,MAPK13,POTEF,3.4691486292859396e-11,0.0211781285405866,0.978821871424722
10095,10109,O15143,O15144,ARPC1B,ARPC2,6.04111004414457e-16,0.00185437858479072,0.998145621415209
10095,81873,O15143,Q9BPX5,ARPC1B,ARPC5L,9.83977711374456e-16,0.0681934327109654,0.931806567289034
10095,10092,O15143,O15511-2,ARPC1B,ARPC5,2.7585631212508e-27,0.006014241859946,0.99398575814005
10095,10097,O15143,P61160,ARPC1B,ACTR2,2.11808926784271e-16,0.0101923160950078,0.989807683904992
10095,10094,O15143,O15145,ARPC1B,ARPC3,8.8969049367974e-23,0.065924599695888,0.93407540030411
10095,57180,O15143,Q9P1U1-2,ARPC1B,ACTR3B,7.8031556700978e-22,2.676887998315e-5,0.99997323112002
10095,10096,O15143,P61158,ARPC1B,ACTR3,4.1880529156986e-32,5.0577135717282e-4,0.99949422864283
10095,10093,O15143,P59998,ARPC1B,ARPC4,1.2879420662915698e-11,0.0542330587147975,0.945766941272323
10095,57645,O15143,Q9P215,ARPC1B,POGK,1.71814216603731e-8,1.83354534096e-5,0.999981647365169
10095,30833,O15143,Q8TCD5,ARPC1B,NT5C,2.2558967407465997e-24,5.342438620788e-5,0.99994657561379
5481,7389,Q08752,P06132,PPID,UROD,1.37408056358458e-13,0.00230287214650035,0.997697127853362
152926,1629,Q8N3J5,P11182,PPM1K,DBT,1.83320295515348e-10,4.72232369245725e-8,0.999999952593443
152926,594,Q8N3J5,P21953,PPM1K,BCKDHB,1.15220722592632e-6,2.037249913934e-5,0.999978475293635
152926,593,Q8N3J5,P12694,PPM1K,BCKDHA,1.9013044445174703e-9,3.7882320084454e-4,0.999621174897851
23212,6181,Q15050,P05387,RRS1,RPLP2,8.8122396816104e-14,0.0444534131260685,0.955546586873843
23212,6176,Q15050,P05386,RRS1,RPLP1,4.66423222320502e-12,0.0319947103561998,0.968005289639136
23212,6124,Q15050,P36578,RRS1,RPL4,2.3455374805435e-30,0.0080818394211257,0.99191816057887
23212,4691,Q15050,P19338,RRS1,NCL,1.2005410274282e-26,0.019468384516153,0.98053161548385
23212,4904,Q15050,P67809,RRS1,YBX1,3.9264890737266e-26,0.0063447257655913,0.99365527423441
23212,339230,Q15050,Q6PK04,RRS1,CCDC137,1.7881758169936997e-21,0.038228785201279,0.96177121479872
23212,55131,Q15050,Q9NW13,RRS1,RBM28,9.7438180617181e-28,0.092843738571635,0.90715626142837
23212,6130,Q15050,P62424,RRS1,RPL7A,7.7289637823262e-28,0.017428823119376,0.98257117688062
23212,23451,Q15050,O75533,RRS1,SF3B1,2.16850385595844e-16,0.19547382883471,0.80452617116529
23212,79050,Q15050,Q9BVI4,RRS1,NOC4L,2.9274228186850404e-09,0.210768030415163,0.789231966657415
23212,6189,Q15050,P61247,RRS1,RPS3A,7.0035921364287995e-28,0.026852448267129,0.97314755173287
23212,6208,Q15050,P62263,RRS1,RPS14,1.1528577818640999e-26,0.045502280900869,0.95449771909913
23212,6204,Q15050,P46783,RRS1,RPS10,1.4657603651805e-28,0.035754718798597,0.9642452812014
23212,6187,Q15050,P15880,RRS1,RPS2,5.1847834179611e-31,0.017104791600826,0.98289520839917
23212,117246,Q15050,Q8IY81,RRS1,FTSJ3,1.02499808053271e-16,0.0729512539865253,0.927048746013475
23212,6188,Q15050,P23396,RRS1,RPS3,4.2526913091103e-24,0.0057374013305726,0.99426259866943
23212,3609,Q15050,Q12906-2,RRS1,ILF3,5.816451519136e-29,0.14658548488289,0.85341451511711
23212,9188,Q15050,Q9NR30,RRS1,DDX21,2.6427565870847e-33,0.012087138167261,0.98791286183274
23212,6175,Q15050,P05388,RRS1,RPLP0,1.2807595979839e-28,0.0023830328767798,0.99761696712322
23212,6122,Q15050,P39023,RRS1,RPL3,1.0169010098617e-27,0.0070969739488573,0.99290302605114
23212,6733,Q15050,P78362-2,RRS1,SRPK2,3.8276423066869e-20,0.028395477799195,0.97160452220081
23212,22907,Q15050,Q7L2E3-2,RRS1,DHX30,9.73881950762593e-16,0.130238726295455,0.869761273704544
23212,6128,Q15050,Q02878,RRS1,RPL6,1.5027711997299402e-17,0.0519901293635196,0.94800987063648
23212,3008,Q15050,P10412,RRS1,HIST1H1E,7.495204999337499e-23,0.1829863069295,0.81701369307051
23212,50809,Q15050,Q5SSJ5-2,RRS1,HP1BP3,2.22670048872811e-15,0.181265814435447,0.81873418556455
23212,90957,Q15050,Q6P158,RRS1,DHX57,4.6162582540538694e-11,0.153776525046272,0.846223474907566
23212,6217,Q15050,P62249,RRS1,RPS16,2.1577989902682102e-14,0.00644490065583675,0.993555099344142
23212,10514,Q15050,Q9BQG0-2,RRS1,MYBBP1A,1.1725206156111999e-20,0.026972495535367,0.97302750446463
23212,11338,Q15050,P26368-2,RRS1,U2AF2,8.971954272477899e-31,0.056178837015426,0.94382116298457
23212,27350,Q15050,Q9NRW3,RRS1,APOBEC3C,3.2516152744945e-16,0.12405009204732,0.87594990795268
23212,9904,Q15050,Q9Y4C8,RRS1,RBM19,8.7675438670673e-27,0.13924262358486,0.86075737641514
23212,85437,Q15050,Q8TBF4,RRS1,ZCRB1,2.3279433155074e-16,0.064308500411197,0.9356914995888
23212,6141,Q15050,Q07020,RRS1,RPL18,3.7203624325702e-30,0.012973735692725,0.98702626430727
23212,6132,Q15050,P62917,RRS1,RPL8,4.2517516916408e-28,0.035550701443952,0.96444929855605
23212,56829,Q15050,Q7Z2W4-2,RRS1,ZC3HAV1,5.1132684512982994e-26,0.076699819484402,0.9233001805156
23212,2926,Q15050,Q12849,RRS1,GRSF1,7.99816967076708e-17,0.214984965016057,0.785015034983943
23212,26156,Q15050,O76021,RRS1,RSL1D1,2.2382543154168e-28,0.16911293509225,0.83088706490775
23212,65993,Q15050,P82930,RRS1,MRPS34,3.26089325900301e-11,0.199363558938098,0.800636441029293
23212,7818,Q15050,P51398,RRS1,DAP3,5.60693780021179e-16,0.188334733127473,0.811665266872526
23212,9045,Q15050,P50914,RRS1,RPL14,1.2435381930287e-27,0.16925651294987001,0.83074348705013
23212,4869,Q15050,P06748-2,RRS1,NPM1,7.086504903398699e-32,0.016780918150071,0.98321908184993
23212,23560,Q15050,Q9BZE4,RRS1,GTPBP4,5.2668357651162796e-12,0.156060562354704,0.843939437640029
23212,23076,Q15050,Q14684-2,RRS1,RRP1B,3.81997025293564e-17,0.230864286835423,0.769135713164577
23212,6194,Q15050,P62753,RRS1,RPS6,3.05263011328e-28,0.19423303802346,0.80576696197654
23212,4839,Q15050,P46087-2,RRS1,NOP2,6.5636637238559e-27,0.12191520201044,0.87808479798956
23212,51081,Q15050,Q9Y2R9,RRS1,MRPS7,5.50133210864328e-15,0.198249204662693,0.801750795337301
23212,6224,Q15050,P60866,RRS1,RPS20,2.4636399266257602e-14,0.0473921139041968,0.952607886095779
23212,29997,Q15050,Q9NZM5,RRS1,GLTSCR2,2.3538770887558e-25,0.10815100579233,0.89184899420767
23212,6223,Q15050,P39019,RRS1,RPS19,9.5237787290434e-27,0.017057844499999,0.9829421555
23212,84365,Q15050,Q9BYG3,RRS1,MKI67IP,2.1344743297058e-29,0.066200472641511,0.93379952735849
23212,29777,Q15050,Q9ULW3,RRS1,ABT1,1.224814129968e-24,0.10052152278192,0.89947847721808
23212,10240,Q15050,Q92665,RRS1,MRPS31,1.6069067397317299e-12,0.0441743848258515,0.955825615172542
23212,6209,Q15050,P62841,RRS1,RPS15,6.04420719205939e-14,0.0541231195056212,0.945876880494318
23212,54865,Q15050,Q5T3I0-3,RRS1,GPATCH4,8.2614829385132e-30,0.048543363634893,0.95145663636511
23212,64965,Q15050,P82933,RRS1,MRPS9,3.57130302080538e-16,0.0241742282184446,0.975825771781555
23212,11103,Q15050,Q13601,RRS1,KRR1,6.8138468959064e-26,0.016592833977401,0.9834071660226
23212,6202,Q15050,P62241,RRS1,RPS8,3.1065331114107e-26,0.11967739526702,0.88032260473298
23212,55299,Q15050,Q8TDN6,RRS1,BRIX1,1.1924782196300501e-14,0.0624753981996321,0.937524601800356
23212,9790,Q15050,Q14692,RRS1,BMS1,6.48620736510806e-14,0.133012417084343,0.866987582915592
23212,6160,Q15050,P62899,RRS1,RPL31,5.645690944805499e-26,0.13771869193014,0.86228130806986
23212,84450,Q15050,Q96ME7,RRS1,ZNF512,1.9036463349495e-21,0.21801371432687,0.78198628567313
23212,55646,Q15050,Q9NX58,RRS1,LYAR,4.9649442016287997e-29,0.12400714431734,0.87599285568266
23212,6139,Q15050,P18621,RRS1,RPL17,1.8493222407862e-22,0.059256296777002,0.940743703223
23212,3921,Q15050,P08865,RRS1,RPSA,3.2871052422061e-29,0.2395949036645,0.7604050963355
23212,6138,Q15050,P61313,RRS1,RPL15,4.6011336954397996e-23,0.077816079257419,0.92218392074258
23212,9933,Q15050,Q15397,RRS1,KIAA0020,4.4128865792837e-23,0.15908731018626,0.84091268981374
23212,64318,Q15050,Q8WTT2,RRS1,NOC3L,2.78136226017529e-11,0.217078691872646,0.78292130809954
23212,6147,Q15050,P62750,RRS1,RPL23A,1.6568541649792e-25,0.080267853756691,0.91973214624331
23212,25873,Q15050,Q9Y3U8,RRS1,RPL36,8.526104206789e-28,0.15227433084113,0.84772566915887
23212,6207,Q15050,P62277,RRS1,RPS13,4.32076633269148e-12,0.0705224338806823,0.929477566114997
23212,6234,Q15050,P62857,RRS1,RPS28,6.129022449485619e-11,0.0623364281581912,0.937663571780519
23212,6161,Q15050,P62910,RRS1,RPL32,2.0570532031750998e-23,0.22125313140795,0.77874686859205
23212,10412,Q15050,O95478,RRS1,NSA2,7.4805045010359005e-25,0.014342634079977,0.98565736592002
23212,5937,Q15050,P29558-2,RRS1,RBMS1,0.0159153929036438,0.0383988529954709,0.945685754100885
23212,60488,Q15050,P82673-2,RRS1,MRPS35,9.66090931135033e-16,0.0910590480005175,0.908940951999482
23212,6203,Q15050,P46781,RRS1,RPS9,2.4981243867929e-30,0.054943512919565,0.94505648708043
23212,6222,Q15050,P62269,RRS1,RPS18,5.30441046493537e-14,0.00494449407362244,0.995055505926325
23212,6218,Q15050,P08708,RRS1,RPS17,2.34903148652456e-12,0.102542120646766,0.897457879350885
23212,23521,Q15050,P40429,RRS1,RPL13A,3.1024601381443e-29,0.087438193141447,0.91256180685855
23212,84248,Q15050,Q96QD9-2,RRS1,FYTTD1,0.0103465403352424,0.230943532692262,0.758709926972496
23212,6142,Q15050,Q02543,RRS1,RPL18A,4.1655300361302996e-27,0.072805590038986,0.92719440996101
23212,23029,Q15050,P42696,RRS1,RBM34,1.9483716809673e-30,0.16487981405421,0.83512018594579
23212,6168,Q15050,P61513,RRS1,RPL37A,7.7770124715793e-25,0.024446371346416,0.97555362865358
23212,84154,Q15050,Q9H7B2,RRS1,RPF2,1.4044545414395e-8,0.0354570845013669,0.964542901454088
23212,6137,Q15050,P26373,RRS1,RPL13,7.9295793760366e-34,0.024398447346065,0.97560155265394
23212,131405,Q15050,Q2Q1W2,RRS1,TRIM71,5.49827940379005e-9,0.00366629265507582,0.996333701846645
23212,5936,Q15050,Q9BWF3,RRS1,RBM4,6.461994914788001e-26,0.053999292264989,0.94600070773501
23212,5814,Q15050,Q96QR8,RRS1,PURB,7.51418887692236e-7,0.00182464407022196,0.99817460451089
23212,5813,Q15050,Q00577,RRS1,PURA,7.075619647583279e-11,0.150287003035764,0.849712996893479
23212,6230,Q15050,P62851,RRS1,RPS25,9.35833976609787e-14,0.0321665720922991,0.967833427907607
23212,10262,Q15050,Q15427,RRS1,SF3B4,1.7045616729679002e-10,0.159747713209154,0.84025228662039
23212,6429,Q15050,Q08170,RRS1,SRSF4,5.5331143390406e-22,0.22723211505928,0.77276788494072
23212,6430,Q15050,Q13243-3,RRS1,SRSF5,4.9024915572881e-29,0.0016466014552034,0.9983533985448
23212,6431,Q15050,Q13247-3,RRS1,SRSF6,1.6428032048378e-23,0.097654458788605,0.90234554121139
23212,6780,Q15050,O95793-2,RRS1,STAU1,1.3779969115742e-23,0.051804833209489,0.94819516679051
23212,2733,Q15050,Q53GS7,RRS1,GLE1,2.89640821534076e-7,0.0609983781922786,0.9390013321669
23212,10667,Q15050,O95363,RRS1,FARS2,1.9841379616531e-4,0.157435750238945,0.84236583596489
23212,8575,Q15050,O75569,RRS1,PRKRA,1.099041433616e-19,0.0013320746135615,0.99866792538644
23212,6229,Q15050,P62847-2,RRS1,RPS24,5.763828697391499e-26,0.13031834277453,0.86968165722547
23212,6158,Q15050,P46779,RRS1,RPL28,2.2167822241096997e-24,0.025804289660144,0.97419571033986
23212,6156,Q15050,P62888,RRS1,RPL30,3.3749597088362e-23,0.18482138332893,0.81517861667107006
23212,6193,Q15050,P46782,RRS1,RPS5,1.16652369025384e-12,0.0312247833273875,0.968775216671446
23212,57466,Q15050,O95104,RRS1,SCAF4,0.02642788091798,0.105060315730101,0.868511803351919
23212,51388,Q15050,Q9Y221,RRS1,NIP7,7.94613245736838e-12,0.211703749188376,0.788296250803678
23212,6135,Q15050,P62913-2,RRS1,RPL11,3.5242690544961e-24,0.13578515529012,0.86421484470988
23212,6428,Q15050,P84103,RRS1,SRSF3,2.8288373149944e-25,0.17603317371351,0.82396682628649
23212,6164,Q15050,P49207,RRS1,RPL34,4.7623996997137e-23,0.085141336709828,0.91485866329017
23212,8338,Q15050,Q16777,RRS1,HIST2H2AC,5.3104489970537e-17,2.1780911973071e-6,0.9999978219088
23212,6165,Q15050,P18077,RRS1,RPL35A,4.2170427817514697e-13,0.214132337063134,0.785867662936445
23212,6426,Q15050,Q07955-2,RRS1,SRSF1,2.4254905892646e-34,0.028418963555374,0.97158103644463
23212,6231,Q15050,P62854,RRS1,RPS26,5.23529516482926e-10,0.220143757651803,0.779856241824667
23212,2197,Q15050,P62861,RRS1,FAU,2.1035574682373e-29,0.11525293900662,0.88474706099338
23212,122704,Q15050,Q86TS9,RRS1,MRPL52,0.0181953774156569,0.0105113383660527,0.97129328421829
8460,3309,O60507,P11021,TPST1,HSPA5,6.791484641270999e-22,2.452852518799e-5,0.99997547147481
7389,728378,P06132,A5A3E0,UROD,POTEF,5.178473128430171e-9,0.0429321682287149,0.957067826592812
22846,3312,Q7L8A9,P11142,VASH1,HSPA8,3.76652752199543e-16,0.13691645836715,0.863083541632849
10969,55646,Q99848,Q9NX58,EBNA1BP2,LYAR,1.5685345957211002e-22,0.069387775096416,0.93061222490358
10969,6124,Q99848,P36578,EBNA1BP2,RPL4,8.1695990285578e-26,0.091242817997394,0.90875718200261
10969,6135,Q99848,P62913-2,EBNA1BP2,RPL11,3.4515563380920004e-23,0.047525451184189,0.95247454881581
10969,6175,Q99848,P05388,EBNA1BP2,RPLP0,1.2916505775707998e-32,0.017509934272721,0.98249006572728
10969,6122,Q99848,P39023,EBNA1BP2,RPL3,1.7407525690292e-30,0.0021787353772576,0.99782126462274
10969,3024,Q99848,Q02539,EBNA1BP2,HIST1H1A,2.0426384260087e-14,1.4893061396539e-6,0.99999851069384
10969,3008,Q99848,P10412,EBNA1BP2,HIST1H1E,1.3102594231168e-25,0.12875125911141,0.87124874088859
10969,10514,Q99848,Q9BQG0-2,EBNA1BP2,MYBBP1A,1.4546774941527e-25,0.14966285192051,0.85033714807949
10969,6154,Q99848,P61254,EBNA1BP2,RPL26,2.0916257951868e-28,0.17726520514518,0.82273479485482
10969,6141,Q99848,Q07020,EBNA1BP2,RPL18,1.4661734163703e-22,0.028790172916145,0.97120982708385
10969,26156,Q99848,O76021,EBNA1BP2,RSL1D1,1.7274171897057e-24,0.22376308288205,0.77623691711795
10969,4869,Q99848,P06748-2,EBNA1BP2,NPM1,8.9315544048696e-28,0.17300055884002,0.82699944115998
10969,6132,Q99848,P62917,EBNA1BP2,RPL8,3.5072939441637996e-24,0.1073046741162,0.8926953258838
10969,9188,Q99848,Q9NR30,EBNA1BP2,DDX21,5.9562479668559e-24,0.021879192656485,0.97812080734352
10969,6202,Q99848,P62241,EBNA1BP2,RPS8,1.7047163725521998e-23,0.12428909611030001,0.8757109038897
10969,4839,Q99848,P46087-2,EBNA1BP2,NOP2,4.1523983137003995e-31,0.059697871979136,0.94030212802086
10969,6139,Q99848,P18621,EBNA1BP2,RPL17,1.3360179333675e-29,0.028570050311896,0.9714299496881
10969,55299,Q99848,Q8TDN6,EBNA1BP2,BRIX1,8.400874302236051e-17,0.0808882084182099,0.91911179158179
10969,6138,Q99848,P61313,EBNA1BP2,RPL15,3.1225273717727e-28,0.10420503747791,0.89579496252209
10969,55131,Q99848,Q9NW13,EBNA1BP2,RBM28,3.2793340025544e-25,0.14800466929573,0.85199533070427
10969,6158,Q99848,P46779,EBNA1BP2,RPL28,5.0742217063118e-27,0.15015986802173,0.84984013197827
10969,6203,Q99848,P46781,EBNA1BP2,RPS9,1.9120069748785e-29,0.0588679619763,0.9411320380237
10969,6142,Q99848,Q02543,EBNA1BP2,RPL18A,5.1284298475083e-25,0.22515238171048,0.77484761828952
